"date";"rain";"tmin";"tmax"
"01/01";0;-8,03333333333333;-3
"01/01";0;-4,85;6
"01/01";0;-8,825;-1,325
"01/01";0;-10,05;-2,2
"01/01";2,53333333333333;-2;3,35
"01/01";0,466666666666667;-6,76666666666667;-1,9
"01/01";0,28;-9,525;-6,525
"01/01";0,76;-8,275;-3,8
"01/01";0,2;-4,725;0,0749999999999999
"01/01";0,54;-6,7;5,025
"01/01";0;-5,5;0,45
"01/01";0;-3,15;2,85
"01/01";0,5;0,0500000000000001;5,25
"01/01";5,58;-4,875;0,35
"01/01";4,32;1,16;4,08
"01/01";4,96;-3,54;-0,16
"01/01";0;-7,46;-0,56
"01/01";0,1;-3,8;2,26
"01/01";2,3;-2;3,86
"01/01";2,68;-2,72;3,84
"01/01";3,6;-8,44;-3,9
"01/01";0,84;-15,62;-6,7
"01/01";0,98;-9,64;-3,78
"01/01";0,92;-9,44;-5,44
"01/01";0,32;-3,22;2,32
"01/01";0;-4,24;3,06
"01/01";2,14;-5,42;-0,12
"01/01";1,76;-3,16;4,42
"01/01";0,6;-3,06;3,52
"01/01";0,3;-5,92;4,3
"01/01";0,58;-4,86;0,3
"01/01";1,56;-9,22;4,64
"01/01";0,62;-6,42;-1,52
"01/01";4;-3,66;5,66
"01/01";19,04;0,34;2,84
"01/01";0;-5,04;0,24
"01/01";0;0,16;7,22
"01/01";0;-11,78;-4,56
"01/01";0,24;-6,6;-3,32
"01/01";7,04;0,74;6,12
"01/01";0;-1,1;5,24
"01/01";0;-4,66;-0,12
"01/01";0;-8,46;-2,72
"01/01";3,68;-0,7;3,04
"01/01";0;-7,78;0,38
"01/01";0;-12,16;-5,42
"01/01";5,18;-1,7;4,84
"01/01";1,36;-1,94;1,7
"01/01";0,4;-2,96;-0,06
"01/01";1,4;-10,12;-4,62
"01/01";0;-1,52;5,5
"01/01";0;-2,36;5,9
"01/01";1,8;-6,9;-1,3
"01/01";0;-9,82;-1,06
"01/01";0;-11,6;-4,925
"01/01";0,15;-0,275;4,7
"01/01";0,45;-3,66;-0,32
"01/01";0,225;-3,64;2,92
"01/01";10,75;-3,32;1,02
"01/01";4,675;0,84;8,2
"01/01";0,65;-7,16;-1,06
"01/01";0,8;-5,78;0,66
"01/02";21,6666666666667;-4,75;3,8
"01/02";3,16666666666667;0,625;8,35
"01/02";12,0333333333333;-9;3,25
"01/02";2,03333333333333;-9,075;1,5
"01/02";0,266666666666667;-5;0,2
"01/02";0,666666666666667;-6;-1,13333333333333
"01/02";0;-12,9;-6,225
"01/02";0;-14,025;-6,6
"01/02";1,86;-3,35;0,0250000000000001
"01/02";0;-3,325;4,8
"01/02";0;-5,35;1,275
"01/02";1,58;-3,95;3,475
"01/02";3,26;-0,975;3,8
"01/02";1,12;-3,95;-0,275
"01/02";13,78;-1,5;1,96
"01/02";0,08;-4,58;-0,34
"01/02";0;-7,52;-1,32
"01/02";13,72;-2,1;1,06
"01/02";0,88;-1,48;4,44
"01/02";3,66;-1,9;2,36
"01/02";0,7;-9,58;-4,6
"01/02";4,8;-8,7;-2,36
"01/02";0,12;-10,04;-4,48
"01/02";1,52;-14,86;-8,82
"01/02";0;-4,4;1,38
"01/02";0;-2,74;2,98
"01/02";1,32;-4,98;-0,38
"01/02";0;-1,56;3,82
"01/02";0,1;-0,48;8,78
"01/02";3,22;-1,08;3,6
"01/02";1,08;-5,96;0,14
"01/02";0,94;-14,36;-8,1
"01/02";2,62;-8,7;-3,82
"01/02";4,44;-3,06;1,34
"01/02";0,82;-1,62;3,42
"01/02";0,28;-4,92;1,02
"01/02";0;-0,4;6,68
"01/02";0,82;-9,04;-3,68
"01/02";2,5;-7,54;-0,56
"01/02";4,54;-0,52;5,24
"01/02";0,32;-0,56;7,02
"01/02";0;-6,74;-0,4
"01/02";0;-8,78;-1,92
"01/02";3,96;-2,98;1,72
"01/02";0;-2,98;3,82
"01/02";0,04;-13,46;-8,2
"01/02";4,24;-5,12;1,42
"01/02";2,62;-5,5;-0,12
"01/02";0;-3,82;0,7
"01/02";0,86;-10,24;-3,44
"01/02";2,5;-0,44;6,56
"01/02";0,44;-3,08;2,66
"01/02";0;-4,36;1
"01/02";1,06;-3,78;3
"01/02";0,15;-9,85;-1,85
"01/02";1,675;0,95;6,85
"01/02";0,175;-5,04;-2,48
"01/02";2,575;-1,36;5,42
"01/02";17,625;-1,58;0,38
"01/02";4,25;-2,12;4,82
"01/02";0;-11,42;-5,34
"01/02";0;-7,1;-1,7
"01/03";6,96666666666667;1,75;7,775
"01/03";4,96666666666667;-1,175;5,725
"01/03";6,46666666666667;-0,95;4,05
"01/03";26;-3,625;1,475
"01/03";3,9;-3,8;2,05
"01/03";0;-3,93333333333333;-1,66666666666667
"01/03";0,68;-14,575;-6,35
"01/03";0;-14,2;-4,175
"01/03";0,14;-2,55;1
"01/03";0,34;-1,7;3,075
"01/03";0,08;-5,1;0,6
"01/03";1,72;-3,9;0,2
"01/03";5,12;-0,475;3,15
"01/03";20,5;-3,95;5,525
"01/03";0,26;-5,14;-1,02
"01/03";2,34;-2,32;2,06
"01/03";0;-10,94;-3,54
"01/03";4,3;-3,84;-0,66
"01/03";5,26;-2,54;2,42
"01/03";0;-5,9;0,54
"01/03";1,46;-9,3;-4,66
"01/03";4,22;-4,8;-0,64
"01/03";0,02;-11,22;-5,72
"01/03";0,5;-13,52;-8,22
"01/03";8,94;-3,14;2,76
"01/03";1,74;-0,86;2,28
"01/03";0;-3,54;1,04
"01/03";0;-4,06;2,1
"01/03";3,24;0,22;8,54
"01/03";21,36;-0,44;1,22
"01/03";1,28;-2,7;2,68
"01/03";0;-14,86;-7,18
"01/03";0,96;-7,76;-4
"01/03";9,22;-1,68;5,44
"01/03";0;-1,84;4,58
"01/03";2,24;-3,2;2,3
"01/03";5,18;-1,62;7
"01/03";0,24;-10;-4,06
"01/03";0;-4,44;-0,08
"01/03";1,86;-3,48;1,58
"01/03";0,12;0,88;6,06
"01/03";0;-6,9;-0,8
"01/03";0;-8,46;-1,22
"01/03";0;-0,64;6,86
"01/03";0;-3,06;3,08
"01/03";0,06;-14,34;-8,16
"01/03";0,22;-2,44;2,96
"01/03";1,08;-6,12;-2,54
"01/03";0,04;-2,02;-0,24
"01/03";1,5;-6,2;-1,16
"01/03";4,54;1,02;6,34
"01/03";1,16;-1,2;3,7
"01/03";0;-5,58;0,88
"01/03";1,82;-0,16;3,9
"01/03";0;-11,45;-4,2
"01/03";0,875;2,325;7,9
"01/03";0;-7,02;-3,8
"01/03";0,05;-1,22;2,2
"01/03";1,025;-1,78;-0,24
"01/03";0,925;-0,94;2,74
"01/03";0;-11;-0,8
"01/03";0;-10,24;-4,08
"01/04";0;1,525;8,35
"01/04";0,0666666666666667;-3,025;2,575
"01/04";19;-2,725;1,75
"01/04";0,233333333333333;-4,65;0,3
"01/04";1,06666666666667;-4,4;-0,35
"01/04";0;-4,26666666666667;-1,86666666666667
"01/04";2,92;-13,025;-7,75
"01/04";0;-7,75;0,175
"01/04";0;-5,8;-0,625
"01/04";9,72;-3;2,325
"01/04";0;-8,675;-3,4
"01/04";0,78;-5,425;-1,3
"01/04";0,24;0,0750000000000001;4,2
"01/04";4,12;-5,075;1,025
"01/04";0;-6,4;-0,44
"01/04";6,26;-2;1,98
"01/04";0;-12,94;-3,84
"01/04";0,44;-5,96;-1,28
"01/04";1,3;-3,98;0,54
"01/04";0,06;-6,88;-1,56
"01/04";1,02;-9,04;-1,42
"01/04";0;-5,86;-0,86
"01/04";0,4;-10,34;-2,02
"01/04";0,04;-14,12;-7,46
"01/04";0,02;-3;2
"01/04";0,42;-1,88;1,3
"01/04";0;-3,96;0,5
"01/04";0;-3,64;2,1
"01/04";0,1;-2,86;3,48
"01/04";5,72;-1,66;0,46
"01/04";2,48;-4,22;2,2
"01/04";0;-14,56;-7,16
"01/04";2,82;-11,4;-4,58
"01/04";7,62;-0,44;4,62
"01/04";0,3;0,66;5,1
"01/04";1,76;0,36;5,5
"01/04";2,92;-2,08;4,96
"01/04";2;-13,1;-6,46
"01/04";1;-5,74;0,72
"01/04";0,46;-6,64;-1,3
"01/04";2,14;-1,92;3,5
"01/04";0;-6,18;1,7
"01/04";0;-10,32;-1,68
"01/04";5,82;-1,62;5,34
"01/04";0;-6,96;1,64
"01/04";0;-13,14;-4,94
"01/04";11,5;-1,5;2,46
"01/04";0;-9,7;-4,44
"01/04";0;-7,66;-1,3
"01/04";5,52;-5,9;0,26
"01/04";0,34;-0,14;5,44
"01/04";1,86;-0,22;5,66
"01/04";0,32;-4,94;1,84
"01/04";0,04;-1,88;3,72
"01/04";0;-14,175;-5,3
"01/04";5,85;0,975;5,725
"01/04";1,15;-10,1;-5,4
"01/04";0;-1,04;4,12
"01/04";0,275;-3;-0,94
"01/04";0,9;-1,08;3,74
"01/04";0;-5,3;2,58
"01/04";0;-11,18;-2,62
"01/05";0,933333333333333;0,375;8,8
"01/05";0;-4,325;0,925
"01/05";5,16666666666667;-3,65;1,7
"01/05";0;-5,75;1,575
"01/05";7,73333333333333;-6,425;-1,975
"01/05";0;-6;-3,06666666666667
"01/05";1,6;-13,95;-6,325
"01/05";0;-7,4;-1,2
"01/05";0;-4,05;2,275
"01/05";1,1;0,05;5,225
"01/05";2,1;-8,2;3,625
"01/05";0,02;-6,9;-2,2
"01/05";2,4;-3,8;2,85
"01/05";0,7;-6,6;-0,75
"01/05";0;-5,26;-0,2
"01/05";2,96;-3;1,08
"01/05";0;-11,36;-2,14
"01/05";0;-9,14;-2,02
"01/05";0;-8;-2,82
"01/05";0,72;-9,34;-3,96
"01/05";6,2;-6,96;-1,44
"01/05";0;-7,04;-2,78
"01/05";5,96;-4,24;5,72
"01/05";0,68;-15,12;-8,86
"01/05";0,02;-5,24;-1
"01/05";0;-3,9;-0,8
"01/05";0;-4,38;-0,48
"01/05";0,08;-3,24;4,8
"01/05";0,32;-6,34;1,32
"01/05";0,72;-3,76;-0,36
"01/05";0,62;-8,44;-2,4
"01/05";0;-16,94;-8,92
"01/05";4,88;-7,18;0,08
"01/05";4,64;-5,04;0,36
"01/05";4,14;0,68;4,26
"01/05";7,1;1,08;6,16
"01/05";1,02;-4,4;-0,9
"01/05";0,22;-16,66;-10,08
"01/05";0;-10,5;-2,62
"01/05";4,3;-6,68;2,32
"01/05";0;0,2;6,78
"01/05";0;-5,94;1,62
"01/05";0,52;-9,2;-1,3
"01/05";1,36;-1,94;3,08
"01/05";0,02;-4,24;2,9
"01/05";0;-12,02;-2,52
"01/05";0,4;-0,76;2,94
"01/05";0,1;-12,24;-6,56
"01/05";0,06;-10,96;-4,72
"01/05";0;-3,68;-0,58
"01/05";0,76;-0,96;6,04
"01/05";0;0,28;6,04
"01/05";0,18;-3,5;2,84
"01/05";0;-1,14;6,78
"01/05";0;-11,3;-2,55
"01/05";2,125;-3,2;2,65
"01/05";1,2;-6,44;-0,0399999999999999
"01/05";0,55;-1,02;4,88
"01/05";1,375;-7,72;-2,22
"01/05";0,05;1,42;5,1
"01/05";1,85;-3,7;3,04
"01/05";0;-8,58;-3,18
"01/06";0;-0,275;5,325
"01/06";0;-4,2;0,675
"01/06";0,466666666666667;-3,975;1,4
"01/06";0;-2;2,625
"01/06";0,3;-8,3;-1,125
"01/06";0,166666666666667;-7,2;-3,06666666666667
"01/06";2,7;-12,05;-5,5
"01/06";0;-7,95;-0,6
"01/06";0,06;-5,425;0,85
"01/06";3,08;1,5;8,95
"01/06";7,7;-0,525;5,075
"01/06";2,22;-7,85;-0,75
"01/06";1,2;-2,425;1,75
"01/06";0;-8,525;0,5
"01/06";0,94;-5,86;0,4
"01/06";0,16;-2,22;2,28
"01/06";0;-11,44;-4,38
"01/06";1,06;-7,08;-2,04
"01/06";0;-13,7;-6,46
"01/06";4,52;-9,96;-5,8
"01/06";5,12;-3,42;2,04
"01/06";0;-8,46;-3,06
"01/06";1,72;-5,82;3,1
"01/06";0,02;-13,7;-6,72
"01/06";0;-8,68;-2,92
"01/06";0;-5,02;-1,38
"01/06";1,98;-4,02;0,44
"01/06";0;1,08;6,38
"01/06";2,08;-0,86;6,34
"01/06";0;-3,7;0,82
